Pfr_ID,HOF,Age,All_Pro,Pro_Bowl,First_Team,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_TDs,Tackles,Def_Int,Sacks
CookBr00,No,21,0,0,1,36,,,,,,20,117,1,188,2424,18,2,,
DixoBr00,No,24,0,0,0,14,,,,,,,,,,,,8,1,
LindBr00,No,22,0,0,1,27,,,,,,,,,,,,,,
ThomBr02,No,23,0,0,0,,,,,,,,,,,,,,,
WattBr00,No,23,0,0,0,9,,,,,,,,,,,,3,,
UrbaBr00,No,23,0,0,0,16,,,,,,,,,,,,10,,2
VereBr00,No,22,0,0,0,19,,,,,,,,,,,,30,1,
ElliBr00,No,23,0,0,0,26,,,,,,7,35,1,19,215,2,1,,
StorBr00,No,23,0,0,1,21,,,,,,,,,,,,,,
BryaC.00,No,22,0,0,0,11,,,,,,,,,,,,,,
FiedC.00,No,22,0,0,3,41,,,,,,,,,56,582,5,1,,
MoslC.00,No,22,0,1,2,40,,,,,,,,,,,,212,5,7
PryoCa00,No,22,0,0,3,39,,,,,,,,,,,,118,2,0.5
FlemCa00,No,22,0,0,0,29,,,,,,,,,,,,,,
ReidCa00,No,22,0,0,1,33,,,,,,,,,,,,28,,3
BradCa01,No,22,0,0,0,1,,,,,,,,,,,,,,
HydeCa00,No,23,0,0,0,29,,,,,,339,1332,13,39,211,0,,,
MarsCa00,No,22,0,0,0,31,,,,,,,,,,,,20,,2
LenoCh00,No,22,0,0,2,32,,,,,,,,,,,,,,
SimsCh00,No,24,0,0,0,28,,,,,,214,830,2,84,863,5,1,,
BorlCh00,No,23,0,0,1,14,,,,,,,,,,,,84,2,1
SmitCh03,No,22,0,0,0,16,,,,,,,,,,,,15,,4.5
WattCh00,No,24,0,0,0,17,,,,,,,,,,,,1,,
KirkCh00,No,22,0,0,2,43,,,,,,,,,,,,146,,7
LatiCo00,No,21,0,0,0,29,,,,,,2,1,0,11,104,1,,,
LinsCo00,No,23,0,0,2,32,,,,,,,,,,,,3,,
NelsCo00,No,22,0,0,0,42,,,,,,,,,,,,34,,1
GillCr00,No,22,0,0,1,32,,,,,,,,,51,604,6,1,,
RichCy00,No,23,0,0,0,12,,,,,,,,,,,,,,
KouaCy00,No,21,0,0,0,19,,,,,,,,,,,,,,
DoziDa00,No,23,0,0,0,12,,,,,,,,,,,,,,
McCuDa00,No,22,0,0,0,32,,,,,,,,,,,,9,,0.5
JoneDa04,No,22,0,0,2,34,,,,,,,,,,,,44,,2
DennDa00,No,22,0,0,0,33,,,,,,,,,,,,47,1,1
